lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.069998,-34.890099,-46.99,-81.14,-75.34,-69.14,-57.99,-75.59
-8.066068,-34.893543,-74.3233333333,-61.9233333333,-70.4566666667,-71.6566666667,-60.5233333333,-50.3233333333
-8.073301,-34.894028,-35.89,-52.19,-50.69,-39.59,-57.84,-53.79
-8.068464,-34.897129,-50.89,-66.29,-58.1566666667,-67.5566666667,-74.2233333333,-55.29
-8.069738,-34.890526,-63.6233333333,-82.59,-67.19,-62.2233333333,-51.19,-59.6566666667
-8.077021,-34.899487,-64.7566666667,-61.8233333333,-70.8233333333,-73.7233333333,-78.99,-84.3566666667
-8.070925,-34.891781,-45.44,-58.59,-68.39,-39.79,-41.89,-78.29
-8.068841,-34.897396,-57.24,-50.29,-51.59,-44.79,-66.44,-52.44
-8.071998,-34.890694,-48.8566666667,-70.29,-71.6566666667,-52.39,-43.6233333333,-83.49
-8.065808,-34.890656,-79.8566666667,-80.99,-80.7233333333,-74.8233333333,-63.3233333333,-65.29
-8.063416,-34.886486,-65.79,-79.99,-84.4233333333,-77.2566666667,-84.8233333333,-88.89
-8.069642,-34.894775,-43.615,-65.115,-65.565,-57.865,-51.04,-55.265
-8.072535,-34.894344,-39.29,-59.4233333333,-48.8233333333,-45.3233333333,-56.0233333333,-71.7566666667
-8.062417,-34.887726,-76.8566666667,-79.3566666667,-84.29,-83.69,-82.8233333333,-90.89
-8.064126,-34.894524,-79.99,-46.2233333333,-63.5233333333,-79.89,-70.6566666667,-58.89
-8.076015,-34.899841,-68.09,-60.99,-63.39,-82.09,-81.79,-84.3233333333
-8.069718,-34.898018,-45.09,-64.49,-58.9233333333,-58.3566666667,-66.7566666667,-49.79
-8.068441,-34.896912,-50.09,-67.99,-63.4233333333,-55.1233333333,-64.8233333333,-57.69
-8.072932,-34.895802,-52.14,-62.89,-67.14,-54.59,-64.99,-65.24
-8.072565,-34.89175,-46.89,-67.89,-62.5566666667,-44.99,-55.99,-75.89
-8.069362,-34.90062,-68.3233333333,-65.8566666667,-68.8566666667,-67.0233333333,-76.39,-65.4233333333
-8.060637,-34.905296,-81.19,-68.24,-72.09,-74.39,-78.49,-80.14
-8.068022,-34.890579,-70.9233333333,-75.79,-78.0233333333,-68.0233333333,-46.1566666667,-70.79
-8.076449,-34.899715,-65.39,-51.79,-69.6566666667,-74.09,-81.99,-87.4233333333
-8.06541,-34.886665,-64.5233333333,-75.0566666667,-74.89,-71.8233333333,-59.39,-72.69
-8.069008,-34.891277,-68.9566666667,-74.9233333333,-77.0233333333,-61.0233333333,-24.2233333333,-70.6233333333
-8.072409,-34.896553,-42.69,-45.04,-57.34,-37.09,-73.84,-70.64
-8.069531,-34.890915,-52.59,-78.6566666667,-68.8566666667,-58.3233333333,-52.19,-62.7566666667
-8.071,-34.896893,-43.6233333333,-62.9233333333,-64.1566666667,-53.8566666667,-73.9566666667,-66.29
-8.076325,-34.895397,-59.5566666667,-46.0233333333,-71.09,-61.0566666667,-71.59,-81.7566666667
-8.069839,-34.89772,-40.5566666667,-61.1566666667,-64.6233333333,-56.69,-64.6233333333,-43.69
-8.072716,-34.896481,-40.3233333333,-44.2233333333,-61.79,-37.4566666667,-66.7233333333,-69.7566666667
-8.069677,-34.896381,-55.99,-47.14,-61.59,-33.29,-64.74,-64.34
-8.069913,-34.890263,-55.3233333333,-78.3233333333,-72.4233333333,-61.2233333333,-51.69,-66.5233333333
-8.069947,-34.896019,-39.59,-60.44,-67.89,-57.79,-70.64,-65.04
-8.073175,-34.896347,-32.49,-61.1233333333,-54.7233333333,-46.9233333333,-59.89,-78.09
-8.073355,-34.896797,-54.79,-51.9566666667,-39.59,-49.0233333333,-69.5233333333,-81.2233333333
-8.076955,-34.897617,-57.5233333333,-23.69,-72.9566666667,-59.99,-76.29,-82.9233333333
-8.075413,-34.892742,-61.3233333333,-72.79,-68.4566666667,-49.1233333333,-67.9233333333,-85.3566666667
-8.068491,-34.889561,-65.7233333333,-77.59,-78.0233333333,-63.9566666667,-44.6233333333,-80.9233333333
-8.066859,-34.894768,-65.9233333333,-72.2566666667,-68.5233333333,-68.3233333333,-71.8566666667,-49.79
-8.067781,-34.8923,-71.49,-65.69,-70.89,-47.6566666667,-59.8233333333,-55.7566666667
-8.070737,-34.892319,-51.6566666667,-69.6566666667,-65.4566666667,-56.3233333333,-49.9233333333,-64.3233333333
-8.064037,-34.885757,-60.2233333333,-77.1566666667,-79.8566666667,-71.7233333333,-84.6566666667,-84.2233333333
-8.077255,-34.898281,-62.1566666667,-30.6233333333,-68.7566666667,-66.8566666667,-72.19,-77.7233333333
-8.075749,-34.893822,-56.54,-63.89,-68.74,-55.14,-70.79,-82.64
-8.061242,-34.904232,-78.64,-58.64,-72.565,-74.965,-72.79,-72.64
-8.06858,-34.897083,-62.64,-64.94,-62.84,-56.29,-67.84,-46.59
-8.069679,-34.900742,-68.54,-72.115,-61.14,-68.565,-76.415,-65.59
-8.068231,-34.891853,-51.99,-74.8566666667,-70.2233333333,-62.69,-60.2566666667,-64.3233333333
-8.072382,-34.900692,-56.44,-53.49,-63.44,-65.74,-82.94,-70.74
-8.069277,-34.899166,-45.9566666667,-51.29,-58.59,-59.0233333333,-55.69,-43.59
-8.06582,-34.892277,-84.2566666667,-72.4566666667,-70.2566666667,-78.0566666667,-46.59,-62.0233333333
-8.068569,-34.896946,-54.99,-62.69,-57.59,-51.64,-68.64,-56.39
-8.067173,-34.893955,-55.19,-75.3566666667,-72.3566666667,-70.89,-67.1566666667,-52.2566666667
-8.068574,-34.897015,-55.69,-60.89,-65.8566666667,-46.1566666667,-69.5566666667,-56.8566666667
-8.068906,-34.889633,-70.29,-72.44,-75.24,-54.79,-45.49,-85.19
-8.074477,-34.890209,-42.7233333333,-76.2233333333,-64.39,-56.6566666667,-56.0233333333,-77.3566666667
-8.070496,-34.896629,-42.4566666667,-61.2566666667,-61.8233333333,-44.0566666667,-72.3566666667,-70.3566666667
-8.068591,-34.897282,-54.8566666667,-58.1566666667,-60.69,-52.8233333333,-72.7566666667,-45.29
-8.075944,-34.89986,-70.49,-61.34,-62.24,-76.99,-83.29,-83.79
-8.070827,-34.891975,-46.9566666667,-77.7233333333,-73.7566666667,-58.59,-35.6566666667,-71.09
-8.070016,-34.896091,-53.6566666667,-64.2566666667,-61.7233333333,-54.89,-70.99,-56.6233333333
-8.075283,-34.892357,-55.99,-72.89,-69.5566666667,-43.49,-69.9566666667,-81.09
-8.073019,-34.896603,-44.99,-42.2566666667,-65.8566666667,-38.5566666667,-66.2566666667,-65.99
-8.070765,-34.892612,-46.1566666667,-66.8233333333,-69.8566666667,-53.2566666667,-51.8233333333,-50.9233333333
-8.063125,-34.888653,-64.7233333333,-74.0233333333,-85.8233333333,-70.8566666667,-74.1233333333,-79.79
-8.066168,-34.896164,-74.29,-55.74,-67.99,-65.69,-59.89,-49.39
-8.066115,-34.896904,-59.49,-48.44,-59.74,-45.99,-68.64,-42.84
-8.069547,-34.890797,-53.9566666667,-74.6566666667,-64.4233333333,-52.99,-44.8566666667,-50.5566666667
-8.065236,-34.889542,-83.4233333333,-72.6233333333,-77.29,-76.1233333333,-63.2566666667,-78.1233333333
-8.071577,-34.892117,-49.4233333333,-69.9566666667,-70.4566666667,-53.29,-34.7566666667,-81.39
-8.072796,-34.895218,-35.84,-65.79,-44.04,-50.09,-59.29,-72.34
-8.066686,-34.89278,-74.89,-63.14,-70.19,-74.34,-74.14,-40.79
-8.070496,-34.893139,-46.99,-64.0233333333,-65.7566666667,-46.09,-48.59,-55.59
-8.06952,-34.895069,-50.1566666667,-73.79,-63.2233333333,-56.8566666667,-58.1566666667,-60.3233333333
-8.06937,-34.895382,-47.6233333333,-61.49,-61.4566666667,-42.6566666667,-59.6233333333,-58.7566666667
